All Ordinaries Index (1 February 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
DRM,Doray Minerals Limited,Materials,"157,046,000",0.01,,,
DTL,DATA#3 Limited,Information Technology,"266,377,000",0.02,,,
DUE,Duet Group Forus,Utilities,"6,812,530,000",0.39,,,
DVN,Devine Limited,Real Estate,"71,428,800",0,,,
DWS,DWS Limited,Information Technology,"188,519,000",0.01,,,
DXS,Dexus Property Group Stapled,Real Estate,"8,740,570,000",0.5,,,
DYE,Dyesol Limited,Information Technology,"82,049,800",0,,,
ECX,Eclipx Group Limited,Financials,"978,959,000",0.06,,,
EGH,Eureka Group Holdings Limited,Real Estate,"157,113,000",0.01,,,
EHE,Estia Health Limited,Health Care,"703,627,000",0.04,,,
ELD,Elders Limited,Consumer Staples,"483,903,000",0.03,,,
EML,EML Payments Limited,Financials,"418,256,000",0.02,,,
ENN,Elanor Investors Group Stapled,Consumer Discretionary,"190,048,000",0.01,,,
EPW,Erm Power Limited,Utilities,"312,641,000",0.02,,,
EQT,EQT Holdings Limited,Financials,"361,005,000",0.02,,,
ERA,Energy Resources of Australia Limited 'a',Energy,"362,408,000",0.02,,,
EVN,Evolution Mining Limited,Materials,"3,645,020,000",0.21,,,
EVT,Event Hospitality And Entertainment LTD,Consumer Discretionary,"2,303,930,000",0.13,,,
EWC,Energy World Corporation LTD,Utilities,"771,704,000",0.04,,,
EZL,Euroz Limited,Financials,"164,209,000",0.01,,,
FAR,FAR Limited,Energy,"343,538,000",0.02,,,
FBU,Fletcher Building Limited NZX,Materials,"6,891,270,000",0.4,,,
FET,Folkestone Education Trust Unit,Real Estate,"614,989,000",0.04,,,
FFT,Future Fibre Technologies Limited,Information Technology,"21,705,000",0,,,
FLK,Folkestone Limited,Real Estate,"141,701,000",0.01,,,
FLN,Freelancer Limited,Information Technology,"474,179,000",0.03,,,
FLT,Flight Centre Travel Group Limited,Consumer Discretionary,"3,022,430,000",0.17,,,
FMG,Fortescue Metals Group LTD,Materials,"21,205,000,000",1.22,,,
FNP,Freedom Foods Group Limited,Consumer Staples,"798,686,000",0.05,,,
FPH,Fisher & Paykel Healthcare Corporation Limited NZX,Health Care,"4,743,930,000",0.27,,,
FRI,Finbar Group Limited,Real Estate,"220,253,000",0.01,,,
FSA,FSA Group Limited,Financials,"163,871,000",0.01,,,
FSF,Fonterra Shareholders' Fund Unit NZX,Consumer Staples,"734,660,000",0.04,,,
FXJ,Fairfax Media Limited,Consumer Discretionary,"2,069,530,000",0.12,,,
FXL,Flexigroup Limited,Financials,"826,621,000",0.05,,,
GBT,GBST Holdings Limited,Information Technology,"217,149,000",0.01,,,
GDI,GDI Property Group Stapled,Real Estate,"536,125,000",0.03,,,
